match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
249239,2007-02-06,"Brisbane Cricket Ground, Woolloongabba","England, New Zealand",ODI,England,bat,England,PD Collingwood
249240,2007-02-09,Melbourne Cricket Ground,"Australia, England",ODI,Australia,bat,England,PD Collingwood
249241,2007-02-11,Sydney Cricket Ground,"Australia, England",ODI,England,bat,England,
249378,2006-08-12,Gymkhana Club Ground,"Kenya, Bangladesh",ODI,Bangladesh,field,Bangladesh,Mashrafe Mortaza
249379,2006-08-13,Gymkhana Club Ground,"Kenya, Bangladesh",ODI,Kenya,bat,Bangladesh,Mashrafe Mortaza
249380,2006-08-15,Gymkhana Club Ground,"Kenya, Bangladesh",ODI,Bangladesh,field,Bangladesh,Mashrafe Mortaza
249739,2006-10-07,"Punjab Cricket Association Stadium, Mohali","Bangladesh, Sri Lanka",ODI,Bangladesh,field,Sri Lanka,WU Tharanga
249740,2006-10-08,"Sardar Patel Stadium, Motera","West Indies, Zimbabwe",ODI,Zimbabwe,bat,West Indies,CH Gayle
249741,2006-10-10,"Sardar Patel Stadium, Motera","Sri Lanka, Zimbabwe",ODI,Sri Lanka,bat,Sri Lanka,WU Tharanga
249742,2006-10-11,Sawai Mansingh Stadium,"Bangladesh, West Indies",ODI,Bangladesh,bat,West Indies,CH Gayle
249743,2006-10-13,Sawai Mansingh Stadium,"Bangladesh, Zimbabwe",ODI,Zimbabwe,field,Bangladesh,Shahriar Nafees
249744,2006-10-14,Brabourne Stadium,"Sri Lanka, West Indies",ODI,West Indies,bat,Sri Lanka,MF Maharoof
249745,2006-10-15,Sawai Mansingh Stadium,"India, England",ODI,India,field,India,MM Patel
249746,2006-10-16,Brabourne Stadium,"New Zealand, South Africa",ODI,South Africa,field,New Zealand,SP Fleming
249747,2006-10-17,Sawai Mansingh Stadium,"Pakistan, Sri Lanka",ODI,Sri Lanka,bat,Pakistan,Abdul Razzaq
249748,2006-10-18,Brabourne Stadium,"Australia, West Indies",ODI,West Indies,bat,West Indies,RS Morton
249749,2006-10-20,Brabourne Stadium,"New Zealand, Sri Lanka",ODI,New Zealand,bat,Sri Lanka,M Muralitharan
